GENESIS-Tabelle: Darmstadt
Einpendelverflechtungen nach Geschlecht - Jahr - regionale;;;;;;
Tiefe: Gemeinden bzw. Gemeindeverbände;;;;;;
Pendlerrechnung der Länder;;;;;;
Stichtag: 30.06.2022;;;;;;
Arbeitsort: Darmstadt, Wissenschaftsstadt;;;;;;
;;Einpendelnde von ...;Einpendelnde von ...;Einpendelnde von ...;Anteil an allen Einpendelnden in den Arbeitsort;Luftlinienentfernung
;;Insgesamt;männlich;weiblich;;
;;Anzahl;Anzahl;Anzahl;Prozent;km
120695910402;Mühlenfließ;-;-;-;-;-
120695910448;Niemegk, Stadt;-;-;-;-;-
120695910474;Planetal;-;-;-;-;-
120695910485;Rabenstein/Fläming;-;-;-;-;-
120695917028;Bensdorf;-;-;-;-;-
120695917537;Rosenau;-;-;-;-;-
120695917688;Wusterwitz;-;-;-;-;-
120695918089;Buckautal;-;-;-;-;-
120695918224;Görzke;-;-;-;-;-
120695918232;Gräben;-;-;-;-;-
120695918648;Wenzlow;-;-;-;-;-
120695918680;Wollin;-;-;-;-;-
120695918696;Ziesar, Stadt;-;-;-;-;-
120700125125;Groß Pankow (Prignitz);-;-;-;-;-
120700149149;Gumtow;-;-;-;-;-
120700173173;Karstädt;-;-;-;-;-
120700296296;Perleberg, Stadt;-;-;-;-;-
120700302302;Plattenburg;-;-;-;-;-
120700316316;Pritzwalk, Stadt;-;-;-;-;-
120700424424;Wittenberge, Stadt;-;-;-;-;-
120705001008;Bad Wilsnack, Stadt;-;-;-;-;-
120705001052;Breese;-;-;-;-;-
120705001241;Legde;-;-;-;-;-
120705001348;Rühstädt;-;-;-;-;-
120705001416;Weisen;-;-;-;-;-
120705005060;Cumlosen;-;-;-;-;-
120705005236;Lanz;-;-;-;-;-
120705005244;Lenzen (Elbe), Stadt;-;-;-;-;-
120705005246;Lenzerwische;-;-;-;-;-
120705006096;Gerdshagen;-;-;-;-;-
120705006153;Halenbeck-Rohlsdorf;-;-;-;-;-
120705006222;Kümmernitztal;-;-;-;-;-
120705006266;Marienfließ;-;-;-;-;-
120705006280;Meyenburg, Stadt;-;-;-;-;-
120705009028;Berge;-;-;-;-;-
120705009145;Gülitz-Reetz;-;-;-;-;-
120705009300;Pirow;-;-;-;-;-
120705009325;Putlitz, Stadt;-;-;-;-;-
120705009393;Triglitz;-;-;-;-;-
120710057057;Drebkau, Stadt;-;-;-;-;-
120710076076;Forst (Lausitz), Stadt;-;-;-;-;-
120710160160;Guben, Stadt;-;-;-;-;-
120710244244;Kolkwitz;-;-;-;-;-
120710301301;Neuhausen/Spree;-;-;-;-;-
120710337337;Schenkendöbern;-;-;-;-;-
120710372372;Spremberg, Stadt;-;-;-;-;-
120710408408;Welzow, Stadt;-;-;-;-;-
120715101028;Briesen;-;-;-;-;-
120715101032;Burg (Spreewald);-;-;-;-;-
120715101041;Dissen-Striesow;-;-;-;-;-
120715101164;Guhrow;-;-;-;-;-
120715101341;Schmogrow-Fehrow;-;-;-;-;-
120715101412;Werben;-;-;-;-;-
120715102044;Döbern, Stadt;-;-;-;-;-
120715102074;Felixsee;-;-;-;-;-
120715102153;Groß Schacksdorf-Simmersdorf;-;-;-;-;-
120715102189;Jämlitz-Klein Düben;-;-;-;-;-
120715102294;Neiße-Malxetal;-;-;-;-;-
120715102392;Tschernitz;-;-;-;-;-
120715102414;Wiesengrund;-;-;-;-;-
120715107052;Drachhausen;-;-;-;-;-
120715107060;Drehnow;-;-;-;-;-
120715107176;Heinersbrück;-;-;-;-;-
120715107193;Jänschwalde;-;-;-;-;-
120715107304;Peitz, Stadt;-;-;-;-;-
120715107384;Tauer;-;-;-;-;-
120715107386;Teichland;-;-;-;-;-
120715107401;Turnow-Preilack;-;-;-;-;-
120720002002;Am Mellensee;-;-;-;-;-
120720014014;Baruth/Mark, Stadt;-;-;-;-;-
120720017017;Blankenfelde-Mahlow;-;-;-;-;-
120720120120;Großbeeren;-;-;-;-;-
120720169169;Jüterbog, Stadt;-;-;-;-;-
120720232232;Luckenwalde, Stadt;-;-;-;-;-
120720240240;Ludwigsfelde, Stadt;-;-;-;-;-
120720297297;Niedergörsdorf;-;-;-;-;-
120720312312;Nuthe-Urstromtal;-;-;-;-;-
120720340340;Rangsdorf;-;-;-;-;-
120720426426;Trebbin, Stadt;-;-;-;-;-
120720477477;Zossen, Stadt;-;-;-;-;-
120725204053;Dahme/Mark, Stadt;-;-;-;-;-
120725204055;Dahmetal;-;-;-;-;-
120725204157;Ihlow;-;-;-;-;-
120725204298;Niederer Fläming;-;-;-;-;-
120730008008;Angermünde, Stadt;-;-;-;-;-
120730069069;Boitzenburger Land;-;-;-;-;-
120730384384;Lychen, Stadt;-;-;-;-;-
120730429429;Nordwestuckermark;-;-;-;-;-
120730452452;Prenzlau, Stadt;-;-;-;-;-
120730532532;Schwedt/Oder, Stadt;-;-;-;-;-
120730572572;Templin, Stadt;-;-;-;-;-
120730579579;Uckerland;-;-;-;-;-
120735051440;Pinnow;-;-;-;-;-
120735051532;Schwedt/Oder, Stadt;-;-;-;-;-
120735303085;Brüssow, Stadt;-;-;-;-;-
120735303093;Carmzow-Wallmow;-;-;-;-;-
120735303216;Göritz;-;-;-;-;-
120735303490;Schenkenberg;-;-;-;-;-
120735303520;Schönfeld;-;-;-;-;-
120735304097;Casekow;-;-;-;-;-
120735304189;Gartz (Oder), Stadt;-;-;-;-;-
120735304309;Hohenselchow-Groß Pinnow;-;-;-;-;-
120735304393;Mescherin;-;-;-;-;-
120735304565;Tantow;-;-;-;-;-
120735305157;Flieth-Stegelitz;-;-;-;-;-
120735305201;Gerswalde;-;-;-;-;-
120735305396;Milmersdorf;-;-;-;-;-
120735305404;Mittenwalde;-;-;-;-;-
120735305569;Temmen-Ringenwalde;-;-;-;-;-
120735306225;Gramzow;-;-;-;-;-
120735306261;Grünow;-;-;-;-;-
120735306430;Oberuckersee;-;-;-;-;-
120735306458;Randowtal;-;-;-;-;-
120735306578;Uckerfelde;-;-;-;-;-
120735306645;Zichow;-;-;-;-;-
120735310032;Berkholz-Meyenburg;-;-;-;-;-
120735310386;Mark Landin;-;-;-;-;-
120735310440;Pinnow;-;-;-;-;-
120735310603;Passow;-;-;-;-;-
130030000000;Rostock, Hanse- und Universitätsstadt;11;.;.;0,0;531,0
130040000000;Schwerin, Landeshauptstadt;-;-;-;-;-
130710027000;Dargun, Stadt;-;-;-;-;-
130710029000;Demmin, Hansestadt;-;-;-;-;-
130710033000;Feldberger Seenlandschaft;-;-;-;-;-
130710107000;Neubrandenburg, Vier-Tore-Stadt;-;-;-;-;-
130710110000;Neustrelitz, Residenzstadt;-;-;-;-;-
130710156000;Waren (Müritz), Stadt;-;-;-;-;-
130715151000;Demmin-Land;-;-;-;-;-
130715152000;Friedland;-;-;-;-;-
130715153000;Malchin am Kummerower See;-;-;-;-;-
130715154000;Malchow;-;-;-;-;-
130715155000;Mecklenburgische Kleinseenplatte;-;-;-;-;-
130715156000;Neustrelitz-Land;-;-;-;-;-
130715157000;Neverin;-;-;-;-;-
130715158000;Penzliner Land;-;-;-;-;-
130715159000;Röbel-Müritz;-;-;-;-;-
130715160000;Seenlandschaft Waren;-;-;-;-;-
130715161000;Stargarder Land;-;-;-;-;-
130715162000;Stavenhagen;-;-;-;-;-
130715163000;Treptower Tollensewinkel;-;-;-;-;-
130715164000;Woldegk;-;-;-;-;-
130720006000;Bad Doberan, Stadt;-;-;-;-;-
130720029000;Dummerstorf;-;-;-;-;-
130720036000;Graal-Müritz, Ostseeheilbad;-;-;-;-;-
130720043000;Güstrow, Barlachstadt;-;-;-;-;-
130720058000;Kröpelin, Stadt;-;-;-;-;-
130720060000;Kühlungsborn, Ostseebad, Stadt;-;-;-;-;-
130720074000;Neubukow, Stadt;-;-;-;-;-
130720091000;Sanitz;-;-;-;-;-
130720093000;Satow;-;-;-;-;-
130720106000;Teterow, Bergringstadt;-;-;-;-;-
130725251000;Bad Doberan-Land;-;-;-;-;-
130725252000;Bützow-Land;-;-;-;-;-
130725253000;Carbäk;-;-;-;-;-
130725254000;Gnoien;-;-;-;-;-
130725255000;Güstrow-Land;-;-;-;-;-
130725256000;Krakow am See;-;-;-;-;-
130725257000;Laage;-;-;-;-;-
130725258000;Mecklenburgische Schweiz;-;-;-;-;-
130725259000;Neubukow-Salzhaff;-;-;-;-;-
130725260000;Rostocker Heide;-;-;-;-;-
130725261000;Schwaan;-;-;-;-;-
130725262000;Tessin;-;-;-;-;-
130725263000;Warnow-West;-;-;-;-;-
130730011000;Binz, Ostseebad;-;-;-;-;-
130730035000;Grimmen, Stadt;-;-;-;-;-
130730055000;Marlow, Stadt;-;-;-;-;-
130730070000;Putbus, Stadt;-;-;-;-;-
130730080000;Sassnitz, Stadt;-;-;-;-;-
130730088000;Stralsund, Hansestadt;-;-;-;-;-
130730089000;Süderholz;-;-;-;-;-
130730105000;Zingst, Ostseeheilbad;-;-;-;-;-
130735351000;Altenpleen;-;-;-;-;-
130735352000;Barth;-;-;-;-;-
130735353000;Bergen auf Rügen;-;-;-;-;-
130735354000;Darß/Fischland;-;-;-;-;-
130735355000;Franzburg-Richtenberg;-;-;-;-;-
130735356000;Miltzow;-;-;-;-;-
130735357000;Mönchgut-Granitz;-;-;-;-;-
130735358000;Niepars;-;-;-;-;-
130735359000;Nord-Rügen;-;-;-;-;-
130735360000;Recknitz-Trebeltal;-;-;-;-;-
130735361000;Ribnitz-Damgarten;-;-;-;-;-
130735362000;West-Rügen;-;-;-;-;-
130740026000;Grevesmühlen, Stadt;-;-;-;-;-
130740035000;Insel Poel, Ostseebad;-;-;-;-;-
130740087000;Wismar, Hansestadt;-;-;-;-;-
130745451000;Dorf Mecklenburg-Bad Kleinen;-;-;-;-;-
130745452000;Gadebusch;-;-;-;-;-
130745453000;Grevesmühlen-Land;-;-;-;-;-
130745454000;Klützer Winkel;-;-;-;-;-
130745455000;Lützow-Lübstorf;-;-;-;-;-
130745456000;Neuburg;-;-;-;-;-
130745457000;Neukloster-Warin;-;-;-;-;-
130745458000;Rehna;-;-;-;-;-
130745459000;Schönberger Land;-;-;-;-;-
130750005000;Anklam, Hansestadt;-;-;-;-;-
130750039000;Greifswald, Universitäts- und Hansestadt;-;-;-;-;-
130750049000;Heringsdorf, Ostseebad;-;-;-;-;-
130750105000;Pasewalk, Stadt;-;-;-;-;-
130750130000;Strasburg (Uckermark), Stadt;-;-;-;-;-
130750136000;Ueckermünde, Seebad, Stadt;-;-;-;-;-
130755551000;Am Peenestrom;-;-;-;-;-
130755552000;Am Stettiner Haff;-;-;-;-;-
130755553000;Anklam-Land;-;-;-;-;-
130755554000;Jarmen-Tutow;-;-;-;-;-
130755555000;Landhagen;-;-;-;-;-
130755556000;Löcknitz-Penkun;-;-;-;-;-
130755557000;Lubmin;-;-;-;-;-
130755558000;Peenetal/Loitz;-;-;-;-;-
130755559000;Torgelow-Ferdinandshof;-;-;-;-;-
130755560000;Uecker-Randow-Tal;-;-;-;-;-
130755561000;Usedom-Nord;-;-;-;-;-
130755562000;Usedom-Süd;-;-;-;-;-
130755563000;Züssow;-;-;-;-;-
130760014000;Boizenburg/Elbe, Stadt;-;-;-;-;-
130760060000;Hagenow, Stadt;-;-;-;-;-
130760088000;Lübtheen, Stadt;-;-;-;-;-
130760090000;Ludwigslust, Stadt;-;-;-;-;-
130760108000;Parchim, Stadt;-;-;-;-;-
130765652000;Boizenburg-Land;-;-;-;-;-
130765654000;Dömitz-Malliß;-;-;-;-;-
130765655000;Eldenburg Lübz;-;-;-;-;-
130765656000;Goldberg-Mildenitz;-;-;-;-;-
130765657000;Grabow;-;-;-;-;-
130765658000;Hagenow-Land;-;-;-;-;-
130765659000;Ludwigslust-Land;-;-;-;-;-
130765660000;Neustadt-Glewe;-;-;-;-;-
130765662000;Parchimer Umland;-;-;-;-;-
130765663000;Plau am See;-;-;-;-;-
130765664000;Sternberger Seenlandschaft;-;-;-;-;-
130765665000;Stralendorf;-;-;-;-;-
130765666000;Wittenburg;-;-;-;-;-
130765667000;Zarrentin;-;-;-;-;-
130765668000;Crivitz;-;-;-;-;-
145110000000;Chemnitz, Stadt;19;13;6;0,0;319,9
145210010010;Amtsberg;-;-;-;-;-
145210020020;Annaberg-Buchholz, Stadt;-;-;-;-;-
145210035035;Aue-Bad Schlema, Stadt;-;-;-;-;-
145210110110;Breitenbrunn/Erzgeb.;-;-;-;-;-
145210130130;Crottendorf;-;-;-;-;-
145210150150;Drebach;-;-;-;-;-
145210160160;Ehrenfriedersdorf, Stadt;-;-;-;-;-
145210170170;Eibenstock, Stadt;-;-;-;-;-
145210200200;Gelenau/Erzgeb.;-;-;-;-;-
145210240240;Großolbersdorf;-;-;-;-;-
145210250250;Großrückerswalde;-;-;-;-;-
145210260260;Grünhain-Beierfeld, Stadt;-;-;-;-;-
145210290290;Hohndorf;-;-;-;-;-
145210310310;Jahnsdorf/Erzgeb.;-;-;-;-;-
145210320320;Johanngeorgenstadt, Stadt;-;-;-;-;-
145210330330;Jöhstadt, Stadt;-;-;-;-;-
145210355355;Lauter-Bernsbach, Stadt;-;-;-;-;-
145210370370;Lößnitz, Stadt;-;-;-;-;-
145210390390;Marienberg, Stadt;-;-;-;-;-
145210400400;Mildenau;-;-;-;-;-
145210410410;Neukirchen/Erzgeb.;-;-;-;-;-
145210440440;Oberwiesenthal, Kurort, Stadt;-;-;-;-;-
145210450450;Oelsnitz/Erzgeb., Stadt;-;-;-;-;-
145210460460;Olbernhau, Stadt;-;-;-;-;-
145210495495;Pockau-Lengefeld, Stadt;-;-;-;-;-
145210500500;Raschau-Markersbach;-;-;-;-;-
145210530530;Schneeberg, Stadt;-;-;-;-;-
145210540540;Schönheide;-;-;-;-;-
145210550550;Schwarzenberg/Erzgeb., Stadt;-;-;-;-;-
145210560560;Sehmatal;-;-;-;-;-
145210600600;Stützengrün;-;-;-;-;-
145210620620;Thalheim/Erzgeb., Stadt;-;-;-;-;-
145210630630;Thermalbad Wiesenbad;-;-;-;-;-
145210640640;Thum, Stadt;-;-;-;-;-
145210670670;Wolkenstein, Stadt;-;-;-;-;-
145215101060;Bärenstein;-;-;-;-;-
145215101340;Königswalde;-;-;-;-;-
145215103040;Auerbach;-;-;-;-;-
145215103120;Burkhardtsdorf;-;-;-;-;-
145215103230;Gornsdorf;-;-;-;-;-
145215110210;Geyer, Stadt;-;-;-;-;-
145215110610;Tannenberg;-;-;-;-;-
145215115380;Lugau/Erzgeb., Stadt;-;-;-;-;-
145215115430;Niederwürschnitz;-;-;-;-;-
145215130510;Scheibenberg, Stadt;-;-;-;-;-
145215130520;Schlettau, Stadt;-;-;-;-;-
145215132140;Deutschneudorf;-;-;-;-;-
145215132280;Heidersdorf;-;-;-;-;-
145215132570;Seiffen/Erzgeb., Kurort;-;-;-;-;-
145215133420;Niederdorf;-;-;-;-;-
145215133590;Stollberg/Erzgeb., Stadt;-;-;-;-;-
145215138220;Gornau/Erzgeb.;-;-;-;-;-
145215138690;Zschopau, Stadt;-;-;-;-;-
145215139080;Bockau;-;-;-;-;-
145215139700;Zschorlau;-;-;-;-;-
145215140180;Elterlein, Stadt;-;-;-;-;-
145215140710;Zwönitz, Stadt;-;-;-;-;-
145215405090;Börnichen/Erzgeb.;-;-;-;-;-
145215405270;Grünhainichen;-;-;-;-;-
145220020020;Augustusburg, Stadt;-;-;-;-;-
145220035035;Bobritzsch-Hilbersdorf;-;-;-;-;-
145220050050;Brand-Erbisdorf, Stadt;-;-;-;-;-
145220070070;Claußnitz;-;-;-;-;-
145220080080;Döbeln, Stadt;-;-;-;-;-
145220110110;Eppendorf;-;-;-;-;-
145220120120;Erlau;-;-;-;-;-
145220140140;Flöha, Stadt;-;-;-;-;-
145220150150;Frankenberg/Sa., Stadt;-;-;-;-;-
145220170170;Frauenstein, Stadt;-;-;-;-;-
145220180180;Freiberg, Stadt, Universitätsstadt;-;-;-;-;-
145220190190;Geringswalde, Stadt;-;-;-;-;-
145220200200;Großhartmannsdorf;-;-;-;-;-
145220210210;Großschirma, Stadt;-;-;-;-;-
145220220220;Großweitzschen;-;-;-;-;-
145220230230;Hainichen, Stadt;-;-;-;-;-
145220240240;Halsbrücke;-;-;-;-;-
145220250250;Hartha, Stadt;-;-;-;-;-
145220260260;Hartmannsdorf;-;-;-;-;-
145220290290;Königshain-Wiederau;-;-;-;-;-
145220300300;Kriebstein;-;-;-;-;-
145220310310;Leisnig, Stadt;-;-;-;-;-
145220320320;Leubsdorf;-;-;-;-;-
145220330330;Lichtenau;-;-;-;-;-
145220350350;Lunzenau, Stadt;-;-;-;-;-
145220390390;Mulda/Sa.;-;-;-;-;-
145220400400;Neuhausen/Erzgeb.;-;-;-;-;-
145220420420;Niederwiesa;-;-;-;-;-
145220430430;Oberschöna;-;-;-;-;-
145220440440;Oederan, Stadt;-;-;-;-;-
145220460460;Penig, Stadt;-;-;-;-;-
145220470470;Rechenberg-Bienenmühle;-;-;-;-;-
145220480480;Reinsberg;-;-;-;-;-
145220500500;Rossau;-;-;-;-;-
145220510510;Roßwein, Stadt;-;-;-;-;-
145220540540;Striegistal;-;-;-;-;-
145220570570;Waldheim, Stadt;-;-;-;-;-
145220580580;Wechselburg;-;-;-;-;-
145225102060;Burgstädt, Stadt;-;-;-;-;-
145225102380;Mühlau;-;-;-;-;-
145225102550;Taura;-;-;-;-;-
145225113340;Lichtenberg/Erzgeb.;-;-;-;-;-
145225113590;Weißenborn/Erzgeb.;-;-;-;-;-
145225119010;Altmittweida;-;-;-;-;-
145225119360;Mittweida, Stadt, Hochschulstadt;-;-;-;-;-
145225123450;Ostrau;-;-;-;-;-
145225123620;Zschaitz-Ottewig;-;-;-;-;-
145225126280;Königsfeld;-;-;-;-;-
145225126490;Rochlitz, Stadt;-;-;-;-;-
145225126530;Seelitz;-;-;-;-;-
145225126600;Zettlitz;-;-;-;-;-
145225129090;Dorfchemnitz;-;-;-;-;-
145225129520;Sayda, Stadt;-;-;-;-;-
145230010010;Adorf/Vogtl., Stadt;-;-;-;-;-
145230020020;Auerbach/Vogtl., Stadt;-;-;-;-;-
145230030030;Bad Brambach;-;-;-;-;-
145230040040;Bad Elster, Stadt;-;-;-;-;-
145230090090;Ellefeld;-;-;-;-;-
145230100100;Elsterberg, Stadt;-;-;-;-;-
145230160160;Klingenthal, Stadt;-;-;-;-;-
145230170170;Lengenfeld, Stadt;-;-;-;-;-
145230200200;Markneukirchen, Stadt;-;-;-;-;-
145230245245;Muldenhammer;-;-;-;-;-
145230280280;Neumark;-;-;-;-;-
145230310310;Pausa-Mühltroff, Stadt;-;-;-;-;-
145230320320;Plauen, Stadt;-;-;-;-;-
145230330330;Pöhl;-;-;-;-;-
145230360360;Rodewisch, Stadt;-;-;-;-;-
145230365365;Rosenbach/Vogtl.;-;-;-;-;-
145230380380;Steinberg;-;-;-;-;-
145230450450;Weischlitz;-;-;-;-;-
145235107120;Falkenstein/Vogtl., Stadt;-;-;-;-;-
145235107130;Grünbach;-;-;-;-;-
145235107290;Neustadt/Vogtl.;-;-;-;-;-
145235120190;Limbach;-;-;-;-;-
145235120260;Netzschkau, Stadt;-;-;-;-;-
145235122060;Bösenbrunn;-;-;-;-;-
145235122080;Eichigt;-;-;-;-;-
145235122300;Oelsnitz/Vogtl., Stadt;-;-;-;-;-
145235122440;Triebel/Vogtl.;-;-;-;-;-
145235125150;Heinsdorfergrund;-;-;-;-;-
145235125340;Reichenbach im Vogtland, Stadt;-;-;-;-;-
145235131230;Mühlental;-;-;-;-;-
145235131370;Schöneck/Vogtl., Stadt;-;-;-;-;-
145235134270;Neuensalz;-;-;-;-;-
145235134430;Treuen, Stadt;-;-;-;-;-
145235402050;Bergen;-;-;-;-;-
145235402410;Theuma;-;-;-;-;-
145235402420;Tirpersdorf;-;-;-;-;-
145235402460;Werda;-;-;-;-;-
145240020020;Callenberg;-;-;-;-;-
145240060060;Fraureuth;-;-;-;-;-
145240070070;Gersdorf;-;-;-;-;-
145240080080;Glauchau, Stadt;-;-;-;-;-
145240090090;Hartenstein, Stadt;-;-;-;-;-
145240120120;Hohenstein-Ernstthal, Stadt;-;-;-;-;-
145240140140;Langenbernsdorf;-;-;-;-;-
145240150150;Langenweißbach;-;-;-;-;-
145240170170;Lichtentanne;-;-;-;-;-
145240200200;Mülsen;-;-;-;-;-
145240210210;Neukirchen/Pleiße;-;-;-;-;-
145240230230;Oberlungwitz, Stadt;-;-;-;-;-
145240250250;Reinsdorf;-;-;-;-;-
145240300300;Werdau, Stadt;-;-;-;-;-
145240310310;Wildenfels, Stadt;-;-;-;-;-
145240320320;Wilkau-Haßlau, Stadt;-;-;-;-;-
145240330330;Zwickau, Stadt;-;-;-;-;-
145245104030;Crimmitschau, Stadt;-;-;-;-;-
145245104050;Dennheritz;-;-;-;-;-
145245111040;Crinitzberg;-;-;-;-;-
145245111100;Hartmannsdorf b. Kirchberg;-;-;-;-;-
145245111110;Hirschfeld;-;-;-;-;-
145245111130;Kirchberg, Stadt;-;-;-;-;-
145245114180;Limbach-Oberfrohna, Stadt;-;-;-;-;-
145245114220;Niederfrohna;-;-;-;-;-
145245118190;Meerane, Stadt;-;-;-;-;-
145245118270;Schönberg;-;-;-;-;-
145245128010;Bernsdorf;-;-;-;-;-
145245128160;Lichtenstein/Sa., Stadt;-;-;-;-;-
145245128280;St. Egidien;-;-;-;-;-
145245135240;Oberwiera;-;-;-;-;-
145245135260;Remse;-;-;-;-;-
145245135290;Waldenburg, Stadt;-;-;-;-;-
146120000000;Dresden, Stadt;58;42;16;0,1;386,4
146250010010;Arnsdorf;-;-;-;-;-
146250020020;Bautzen, Stadt;-;-;-;-;-
146250030030;Bernsdorf, Stadt;-;-;-;-;-
146250060060;Burkau;-;-;-;-;-
146250090090;Cunewalde;-;-;-;-;-
146250100100;Demitz-Thumitz;-;-;-;-;-
146250110110;Doberschau-Gaußig;-;-;-;-;-
146250120120;Elsterheide;-;-;-;-;-
146250130130;Elstra, Stadt;-;-;-;-;-
146250150150;Göda;-;-;-;-;-
146250160160;Großdubrau;-;-;-;-;-
146250200200;Großröhrsdorf, Stadt;-;-;-;-;-
146250220220;Haselbachtal;-;-;-;-;-
146250230230;Hochkirch;-;-;-;-;-
146250240240;Hoyerswerda, Stadt;-;-;-;-;-
146250250250;Kamenz, Stadt;-;-;-;-;-
146250280280;Königswartha;-;-;-;-;-
146250290290;Kubschütz;-;-;-;-;-
146250310310;Lauta, Stadt;-;-;-;-;-
146250330330;Lohsa;-;-;-;-;-
146250340340;Malschwitz;-;-;-;-;-
146250380380;Neukirch/Lausitz;-;-;-;-;-
146250420420;Oßling;-;-;-;-;-
146250430430;Ottendorf-Okrilla;-;-;-;-;-
146250480480;Radeberg, Stadt;-;-;-;-;-
146250490490;Radibor;-;-;-;-;-
146250525525;Schirgiswalde-Kirschau, Stadt;-;-;-;-;-
146250530530;Schmölln-Putzkau;-;-;-;-;-
146250550550;Schwepnitz;-;-;-;-;-
146250560560;Sohland a. d. Spree;-;-;-;-;-
146250570570;Spreetal;-;-;-;-;-
146250590590;Steinigtwolmsdorf;-;-;-;-;-
146250600600;Wachau;-;-;-;-;-
146250610610;Weißenberg, Stadt;-;-;-;-;-
146250630630;Wilthen, Stadt;-;-;-;-;-
146250640640;Wittichenau, Stadt;-;-;-;-;-
146255207040;Bischofswerda, Stadt;-;-;-;-;-
146255207510;Rammenau;-;-;-;-;-
146255211140;Frankenthal;-;-;-;-;-
146255211170;Großharthau;-;-;-;-;-
146255212190;Großpostwitz/O.L.;-;-;-;-;-
146255212390;Obergurig;-;-;-;-;-
146255218270;Königsbrück, Stadt;-;-;-;-;-
146255218300;Laußnitz;-;-;-;-;-
146255218370;Neukirch;-;-;-;-;-
146255223360;Neschwitz;-;-;-;-;-
146255223460;Puschwitz;-;-;-;-;-
146255231180;Großnaundorf;-;-;-;-;-
146255231320;Lichtenberg;-;-;-;-;-
146255231410;Ohorn;-;-;-;-;-
146255231450;Pulsnitz, Stadt;-;-;-;-;-
146255231580;Steina;-;-;-;-;-
146255501080;Crostwitz;-;-;-;-;-
146255501350;Nebelschütz;-;-;-;-;-
146255501440;Panschwitz-Kuckau;-;-;-;-;-
146255501470;Räckelwitz;-;-;-;-;-
146255501500;Ralbitz-Rosenthal;-;-;-;-;-
146260060060;Boxberg/O.L.;-;-;-;-;-
146260085085;Ebersbach-Neugersdorf, Stadt;-;-;-;-;-
146260110110;Görlitz, Stadt;-;-;-;-;-
146260180180;Herrnhut, Stadt;-;-;-;-;-
146260245245;Kottmar;-;-;-;-;-
146260250250;Krauschwitz i.d. O.L.;-;-;-;-;-
146260280280;Leutersdorf;-;-;-;-;-
146260300300;Markersdorf;-;-;-;-;-
146260310310;Mittelherwigsdorf;-;-;-;-;-
146260370370;Niesky, Stadt;-;-;-;-;-
146260390390;Oderwitz;-;-;-;-;-
146260420420;Ostritz, Stadt;-;-;-;-;-
146260530530;Seifhennersdorf, Stadt;-;-;-;-;-
146260610610;Zittau, Stadt;-;-;-;-;-
146265203010;Bad Muskau, Stadt;-;-;-;-;-
146265203100;Gablenz;-;-;-;-;-
146265206030;Bernstadt a. d. Eigen, Stadt;-;-;-;-;-
146265206500;Schönau-Berzdorf a. d. Eigen;-;-;-;-;-
146265214140;Großschönau;-;-;-;-;-
146265214170;Hainewalde;-;-;-;-;-
146265220150;Großschweidnitz;-;-;-;-;-
146265220270;Lawalde;-;-;-;-;-
146265220290;Löbau, Stadt;-;-;-;-;-
146265220470;Rosenbach;-;-;-;-;-
146265224070;Dürrhennersdorf;-;-;-;-;-
146265224350;Neusalza-Spremberg, Stadt;-;-;-;-;-
146265224510;Schönbach;-;-;-;-;-
146265227050;Bertsdorf-Hörnitz;-;-;-;-;-
146265227210;Jonsdorf, Kurort;-;-;-;-;-
146265227400;Olbersdorf;-;-;-;-;-
146265227430;Oybin;-;-;-;-;-
146265228020;Beiersdorf;-;-;-;-;-
146265228410;Oppach;-;-;-;-;-
146265232240;Königshain;-;-;-;-;-
146265232450;Reichenbach/O.L., Stadt;-;-;-;-;-
146265232570;Vierkirchen;-;-;-;-;-
146265233260;Kreba-Neudorf;-;-;-;-;-
146265233460;Rietschen;-;-;-;-;-
146265235160;Hähnichen;-;-;-;-;-
146265235480;Rothenburg/O.L., Stadt;-;-;-;-;-
146265237120;Groß Düben;-;-;-;-;-
146265237490;Schleife;-;-;-;-;-
146265237560;Trebendorf;-;-;-;-;-
146265242590;Weißkeißel;-;-;-;-;-
146265242600;Weißwasser/O.L., Stadt;-;-;-;-;-
146265502190;Hohendubrau;-;-;-;-;-
146265502320;Mücka;-;-;-;-;-
146265502440;Quitzdorf am See;-;-;-;-;-
146265502580;Waldhufen;-;-;-;-;-
146265503200;Horka;-;-;-;-;-
146265503230;Kodersdorf;-;-;-;-;-
146265503330;Neißeaue;-;-;-;-;-
146265503520;Schöpstal;-;-;-;-;-
146270010010;Coswig, Stadt;-;-;-;-;-
146270020020;Diera-Zehren;-;-;-;-;-
146270030030;Ebersbach;-;-;-;-;-
146270050050;Gröditz, Stadt;-;-;-;-;-
146270060060;Großenhain, Stadt;-;-;-;-;-
146270070070;Hirschstein;-;-;-;-;-
146270080080;Käbschütztal;-;-;-;-;-
146270100100;Klipphausen;-;-;-;-;-
146270130130;Lommatzsch, Stadt;-;-;-;-;-
146270140140;Meißen, Stadt;-;-;-;-;-
146270150150;Moritzburg;-;-;-;-;-
146270170170;Niederau;-;-;-;-;-
146270180180;Nossen, Stadt;-;-;-;-;-
146270200200;Priestewitz;-;-;-;-;-
146270210210;Radebeul, Stadt;-;-;-;-;-
146270220220;Radeburg, Stadt;-;-;-;-;-
146270230230;Riesa, Stadt;-;-;-;-;-
146270260260;Stauchitz;-;-;-;-;-
